Portfolio,Weights,Volatility,Sharpe Ratio,AAPL,MSFT,GOOGL,AMZN,TSLA
Portfolio 1,"[0.9219558572454163, 1.545012228355948e-07, 3.1324698320164823e-06, 3.434129714376455e-07, 4.1718315148335446e-07]",0.1443836601151936,0.07102264416622862,0.9219558572454163,1.545012228355948e-07,3.1324698320164823e-06,3.434129714376455e-07,4.1718315148335446e-07
Portfolio 2,"[0.638785954963763, 3.901624490864463e-05, 0.7133274946067898, 2.144150714530883e-06, 4.440145151109248e-07]",0.14481917936741945,0.07140598135052464,0.638785954963763,3.901624490864463e-05,0.7133274946067898,2.144150714530883e-06,4.440145151109248e-07
Portfolio 3,"[0.9294641909853009, 1.5883958503537385e-05, 0.8423935776934592, 0.00010923891081744783, 3.6997341038876393e-07]",0.14481196313810293,0.07140221935368146,0.9294641909853009,1.5883958503537385e-05,0.8423935776934592,0.00010923891081744783,3.6997341038876393e-07
Portfolio 4,"[0.5702465782116505, 0.00010029786458658125, 0.0900699191877481, 2.875626784093335e-06, 1.9030622930034376e-06]",0.1445733795658065,0.07119542543891558,0.5702465782116505,0.00010029786458658125,0.0900699191877481,2.875626784093335e-06,1.9030622930034376e-06
Portfolio 5,"[0.9376473764298705, 0.00012006096644857082, 0.2699965286450436, 6.174122959618457e-05, 4.777395562550904e-09]",0.14466640389956628,0.07127882735674493,0.9376473764298705,0.00012006096644857082,0.2699965286450436,6.174122959618457e-05,4.777395562550904e-09
Portfolio 6,"[0.8765993127561368, 4.74800961862417e-06, 0.46959071335235114, 4.803995481331022e-06, 6.872001853437843e-07]",0.14476159705349242,0.07136201782710092,0.8765993127561368,4.74800961862417e-06,0.46959071335235114,4.803995481331022e-06,6.872001853437843e-07
Portfolio 7,"[0.8631742952594533, 3.9027896324593395e-05, 0.25886396287935715, 3.196916228180306e-05, 9.487857841018461e-06]",0.14467295922973417,0.07128471507666438,0.8631742952594533,3.9027896324593395e-05,0.25886396287935715,3.196916228180306e-05,9.487857841018461e-06
Portfolio 8,"[0.9381301734638929, 0.00011647396631903917, 0.25159888940975667, 6.0777161088261245e-05, 1.6060846659090998e-07]",0.14465479796304836,0.07126850351960762,0.9381301734638929,0.00011647396631903917,0.25159888940975667,6.0777161088261245e-05,1.6060846659090998e-07
Portfolio 9,"[0.6617803900702337, 9.187277005590075e-06, 0.10056373153028533, 6.07678610460544e-06, 5.156777098231591e-07]",0.14456780132936564,0.07119050572062022,0.6617803900702337,9.187277005590075e-06,0.10056373153028533,6.07678610460544e-06,5.156777098231591e-07
Portfolio 10,"[0.8806381423155938, 1.103601335902369e-05, 0.2433202476885265, 1.2306322918611807e-05, 4.320674282848048e-05]",0.14465954573179168,0.07127280932747532,0.8806381423155938,1.103601335902369e-05,0.2433202476885265,1.2306322918611807e-05,4.320674282848048e-05
Portfolio 11,"[0.9008814063340214, 4.278423026889568e-05, 0.3302967933301288, 1.2022311849515674e-05, 1.095749066068849e-06]",0.14470551194312545,0.07131347042337419,0.9008814063340214,4.278423026889568e-05,0.3302967933301288,1.2022311849515674e-05,1.095749066068849e-06
Portfolio 12,"[0.9298174852351982, 2.6005175519593874e-06, 0.7551195232597385, 3.0237383185605386e-05, 4.387020001507303e-06]",0.14480500186859377,0.07139729255636215,0.9298174852351982,2.6005175519593874e-06,0.7551195232597385,3.0237383185605386e-05,4.387020001507303e-06
Portfolio 13,"[0.8843968990375483, 1.2978956940737856e-07, 0.09057243925763392, 7.501961772851459e-05, 8.812641802776063e-06]",0.1445186383292832,0.07114588874665528,0.8843968990375483,1.2978956940737856e-07,0.09057243925763392,7.501961772851459e-05,8.812641802776063e-06
Portfolio 14,"[0.5862829318313221, 2.1893472192109898e-05, 0.1492809841170164, 7.11017934034362e-05, 1.5941380832408742e-05]",0.1446463521019069,0.07126096807953924,0.5862829318313221,2.1893472192109898e-05,0.1492809841170164,7.11017934034362e-05,1.5941380832408742e-05
Portfolio 15,"[0.9965698479419148, 1.2288847734277566e-06, 0.37912129164784586, 2.6191275210249606e-06, 2.4244694621926214e-07]",0.14471133086812268,0.07131860866741502,0.9965698479419148,1.2288847734277566e-06,0.37912129164784586,2.6191275210249606e-06,2.4244694621926214e-07
Portfolio 16,"[0.9562600605611994, 1.5954730363295848e-07, 0.0026796145454215936, 1.4632746191663524e-05, 2.261006546936467e-06]",0.1443880992863643,0.07102670280748338,0.9562600605611994,1.5954730363295848e-07,0.0026796145454215936,1.4632746191663524e-05,2.261006546936467e-06
Portfolio 17,"[0.8116938873670965, 3.7612515970718326e-06, 0.3384074976803108, 0.00013074246834653545, 5.899281929921709e-07]",0.14472571091529415,0.07133105444344348,0.8116938873670965,3.7612515970718326e-06,0.3384074976803108,0.00013074246834653545,5.899281929921709e-07
Portfolio 18,"[0.8433409315735447, 4.9712255509782184e-05, 0.014201990134912648, 2.7976056985365785e-05, 4.034660412361558e-05]",0.14440973214695088,0.07104643515897804,0.8433409315735447,4.9712255509782184e-05,0.014201990134912648,2.7976056985365785e-05,4.034660412361558e-05
Portfolio 19,"[0.9093637076920693, 1.2978956940737856e-07, 0.28715860453869657, 7.501961772851459e-05, 2.375945000552613e-07]",0.14468137568310085,0.07129217548945313,0.9093637076920693,1.2978956940737856e-07,0.28715860453869657,7.501961772851459e-05,2.375945000552613e-07
Portfolio 20,"[0.9723914827700058, 2.724796270234161e-06, 0.194689794373513, 2.5511051176998525e-05, 1.2085529886422033e-06]",0.14460814929201107,0.0712268643555826,0.9723914827700058,2.724796270234161e-06,0.194689794373513,2.5511051176998525e-05,1.2085529886422033e-06
Portfolio 21,"[0.5787772376732553, 3.886593495007946e-06, 0.14423327343717313, 1.4329698823120088e-05, 3.9057100020037407e-07]",0.14464273511838682,0.07125785220665952,0.5787772376732553,3.886593495007946e-06,0.14423327343717313,1.4329698823120088e-05,3.9057100020037407e-07
Portfolio 22,"[0.553484810324409, 2.4146055523936683e-06, 0.284660957809461, 4.880374757400531e-06, 3.4649725488980224e-06]",0.14475614082532853,0.07135737691389439,0.553484810324409,2.4146055523936683e-06,0.284660957809461,4.880374757400531e-06,3.4649725488980224e-06
Portfolio 23,"[0.9778559975306469, 0.00018306917072676108, 0.6940809441305661, 1.947268332401939e-06, 3.4139987025020393e-07]",0.1447938312176277,0.07138858180960596,0.9778559975306469,0.00018306917072676108,0.6940809441305661,1.947268332401939e-06,3.4139987025020393e-07
Portfolio 24,"[0.6079294037956402, 1.960033193155588e-05, 0.28983342413024327, 8.132830687574089e-06, 3.2648051641455806e-07]",0.1447455602179259,0.07134830634279762,0.6079294037956402,1.960033193155588e-05,0.28983342413024327,8.132830687574089e-06,3.2648051641455806e-07
Portfolio 25,"[0.9049612248370698, 1.4334230806641005e-05, 0.022943776873813493, 6.468076928194407e-05, 6.7495245796639136e-06]",0.1444221125727277,0.07105781555401505,0.9049612248370698,1.4334230806641005e-05,0.022943776873813493,6.468076928194407e-05,6.7495245796639136e-06
Portfolio 26,"[0.8078806088309958, 2.3003689434783463e-08, 0.1422553702526197, 5.790116085115336e-07, 5.2430182007032554e-06]",0.1445888033200165,0.07120947244314262,0.8078806088309958,2.3003689434783463e-08,0.1422553702526197,5.790116085115336e-07,5.2430182007032554e-06
Portfolio 27,"[0.9823477494134633, 9.976681800696722e-07, 0.20678367938283615, 6.302124942660915e-05, 2.496905986856298e-05]",0.14461595820227072,0.07123383054446703,0.9823477494134633,9.976681800696722e-07,0.20678367938283615,6.302124942660915e-05,2.496905986856298e-05
Portfolio 28,"[0.601449624636304, 3.753810368119041e-06, 0.2433699451492859, 1.3997465677891859e-05, 1.6627279273654447e-07]",0.14472101329784373,0.07132705313019849,0.601449624636304,3.753810368119041e-06,0.2433699451492859,1.3997465677891859e-05,1.6627279273654447e-07
Portfolio 29,"[0.6397998651791542, 8.261913030486198e-09, 0.1246218331983251, 3.183419976813867e-05, 1.314754500772164e-07]",0.14460395712366372,0.07122307978034728,0.6397998651791542,8.261913030486198e-09,0.1246218331983251,3.183419976813867e-05,1.314754500772164e-07
Portfolio 30,"[0.44830014604339175, 1.156712579357835e-05, 0.341630432455245, 2.6504468004949108e-06, 9.830087862994135e-08]",0.1448000479870716,0.07139353236874846,0.44830014604339175,1.156712579357835e-05,0.341630432455245,2.6504468004949108e-06,9.830087862994135e-08
Portfolio 31,"[0.9354296031856416, 0.00011809857760350712, 0.13309420663516436, 2.698156545690335e-05, 1.3458641858475345e-07]",0.14455901210361458,0.07118245725984858,0.9354296031856416,0.00011809857760350712,0.13309420663516436,2.698156545690335e-05,1.3458641858475345e-07
Portfolio 32,"[0.801169551418885, 2.7684308169784296e-07, 0.20743222503158754, 2.8932920934005243e-05, 7.358937791072573e-06]",0.14464893486933705,0.07126337546792816,0.801169551418885,2.7684308169784296e-07,0.20743222503158754,2.8932920934005243e-05,7.358937791072573e-06
Portfolio 33,"[0.7371690066984029, 3.195577685050843e-05, 0.06472104116148768, 8.237784152452074e-06, 4.1593973601217475e-06]",0.1445023248457039,0.0711310883122877,0.7371690066984029,3.195577685050843e-05,0.06472104116148768,8.237784152452074e-06,4.1593973601217475e-06
Portfolio 34,"[0.8631742952594533, 3.8704974781396485e-05, 0.3904900910531484, 3.2528315154061604e-05, 9.487857841018461e-06]",0.1447379589094559,0.07134172653759267,0.8631742952594533,3.8704974781396485e-05,0.3904900910531484,3.2528315154061604e-05,9.487857841018461e-06
Portfolio 35,"[0.6242814153646723, 6.738831157725778e-07, 0.20678367938283615, 6.302124942660915e-05, 2.5134802089365785e-05]",0.14468920148159642,0.07129905180554814,0.6242814153646723,6.738831157725778e-07,0.20678367938283615,6.302124942660915e-05,2.5134802089365785e-05
Portfolio 36,"[0.6380397563548246, 1.1187885933914544e-07, 0.11068763466847718, 6.095766484913535e-06, 7.679327042892718e-07]",0.1445866229704713,0.07120750398646769,0.6380397563548246,1.1187885933914544e-07,0.11068763466847718,6.095766484913535e-06,7.679327042892718e-07
Portfolio 37,"[0.8936776909052002, 2.1187790614694253e-05, 0.024894414682431712, 1.1453339827996635e-05, 7.173653364321317e-06]",0.14442562763393357,0.07106108248634835,0.8936776909052002,2.1187790614694253e-05,0.024894414682431712,1.1453339827996635e-05,7.173653364321317e-06
Portfolio 38,"[0.7900495278368345, 1.299466270749982e-05, 0.025628178451305807, 4.102400871345908e-05, 0.00019567985139696002]",0.144432503206376,0.07106713118318742,0.7900495278368345,1.299466270749982e-05,0.025628178451305807,4.102400871345908e-05,0.00019567985139696002
Portfolio 39,"[0.8204241519803258, 2.842419381346715e-08, 0.10270050830595001, 1.0849666413822323e-06, 8.060628783033691e-07]",0.14454224235712568,0.07116739004819278,0.8204241519803258,2.842419381346715e-08,0.10270050830595001,1.0849666413822323e-06,8.060628783033691e-07
Portfolio 40,"[0.9562600605611994, 1.5954730363295848e-07, 0.004832311859157834, 1.4632746191663524e-05, 2.261006546936467e-06]",0.14439161458247754,0.07102992885556977,0.9562600605611994,1.5954730363295848e-07,0.004832311859157834,1.4632746191663524e-05,2.261006546936467e-06
Portfolio 41,"[0.8856051378913609, 0.00012535581157098195, 0.21089387361508632, 2.105959088747643e-05, 4.356668834138807e-06]",0.14463556426994276,0.07125134736350058,0.8856051378913609,0.00012535581157098195,0.21089387361508632,2.105959088747643e-05,4.356668834138807e-06
Portfolio 42,"[0.9261319090632517, 7.431736874319796e-05, 0.06371856322993115, 2.6669255177949217e-06, 3.555141939937188e-05]",0.1444799180574287,0.07111062648878283,0.9261319090632517,7.431736874319796e-05,0.06371856322993115,2.6669255177949217e-06,3.555141939937188e-05
Portfolio 43,"[0.9419165109590872, 6.3136588439992466e-06, 0.7444330736372147, 2.875626784093335e-06, 3.487407970170815e-07]",0.14480295539518345,0.0713957679413319,0.9419165109590872,6.3136588439992466e-06,0.7444330736372147,2.875626784093335e-06,3.487407970170815e-07
Portfolio 44,"[0.9129733565468009, 2.724796270234161e-06, 0.194689794373513, 6.154496374279318e-06, 1.2085529886422033e-06]",0.14461790927326001,0.07123564346017842,0.9129733565468009,2.724796270234161e-06,0.194689794373513,6.154496374279318e-06,1.2085529886422033e-06
Portfolio 45,"[0.8433409315735447, 4.9712255509782184e-05, 0.06539474750374957, 9.33396149372107e-06, 4.034660412361558e-05]",0.1444904534547393,0.07112023069946627,0.8433409315735447,4.9712255509782184e-05,0.06539474750374957,9.33396149372107e-06,4.034660412361558e-05
Portfolio 46,"[0.9213565741112425, 1.853563804916017e-07, 0.29818490837041495, 6.129858185206e-05, 3.037452377977854e-07]",0.14468536976264484,0.07129571915352832,0.9213565741112425,1.853563804916017e-07,0.29818490837041495,6.129858185206e-05,3.037452377977854e-07
Portfolio 47,"[0.8631742952594533, 4.596021925647784e-07, 0.42521061245948083, 3.2528315154061604e-05, 1.9659235313426875e-07]",0.14475019279787069,0.07135228367247297,0.8631742952594533,4.596021925647784e-07,0.42521061245948083,3.2528315154061604e-05,1.9659235313426875e-07
Portfolio 48,"[0.9152537548762384, 6.948335268427177e-07, 0.09704055456928568, 4.0907789734938394e-05, 7.521425040518257e-07]",0.14452247493696455,0.07114941636511554,0.9152537548762384,6.948335268427177e-07,0.09704055456928568,4.0907789734938394e-05,7.521425040518257e-07
Portfolio 49,"[0.9683069677868933, 0.00014958469528322425, 0.3127241524298953, 6.232207573235239e-05, 3.453502779778333e-05]",0.1446851914401099,0.07129544006669963,0.9683069677868933,0.00014958469528322425,0.3127241524298953,6.232207573235239e-05,3.453502779778333e-05
Portfolio 50,"[0.9500025513239445, 1.438106164845048e-06, 0.2090558676534337, 2.326654818264151e-05, 0.00013304084176383736]",0.14462299204506796,0.07124008531939963,0.9500025513239445,1.438106164845048e-06,0.2090558676534337,2.326654818264151e-05,0.00013304084176383736
Portfolio 51,"[0.9192784683422365, 1.217941538881654e-07, 0.6822561490716814, 1.127841825838621e-06, 3.140462695408148e-05]",0.14479779305258655,0.07139177619858357,0.9192784683422365,1.217941538881654e-07,0.6822561490716814,1.127841825838621e-06,3.140462695408148e-05
Portfolio 52,"[0.9259281681071876, 5.7412201087305836e-06, 0.14933326022982896, 5.797401096921012e-06, 1.8437831372526404e-05]",0.14457614249005268,0.07119803281646653,0.9259281681071876,5.7412201087305836e-06,0.14933326022982896,5.797401096921012e-06,1.8437831372526404e-05
Portfolio 53,"[0.6438264211786999, 3.167978056059406e-06, 0.35188298357489844, 1.525979797046602e-05, 1.9744589808049127e-06]",0.14476423051854725,0.07136423432777082,0.6438264211786999,3.167978056059406e-06,0.35188298357489844,1.525979797046602e-05,1.9744589808049127e-06
Portfolio 54,"[0.8682611833303129, 1.264061446817073e-05, 0.026535723879620964, 3.923154831673295e-05, 1.7799743424236116e-08]",0.14442948856464316,0.07106460145748547,0.8682611833303129,1.264061446817073e-05,0.026535723879620964,3.923154831673295e-05,1.7799743424236116e-08
Portfolio 55,"[0.7711624564061657, 5.3631449574144604e-05, 0.014384317385385814, 1.5280130459207377e-06, 4.034660412361558e-05]",0.14441239520873378,0.07104889249217695,0.7711624564061657,5.3631449574144604e-05,0.014384317385385814,1.5280130459207377e-06,4.034660412361558e-05
Portfolio 56,"[0.8907461718270449, 7.827178425576216e-05, 0.049898429033183755, 1.8321893326114677e-05, 0.00016482589507036291]",0.1444641162171545,0.07109605772942101,0.8907461718270449,7.827178425576216e-05,0.049898429033183755,1.8321893326114677e-05,0.00016482589507036291
Portfolio 57,"[0.9809238549519331, 0.00020848398551250288, 0.014488482792817867, 6.192470061733562e-05, 1.2975630286483938e-08]",0.14440687156068635,0.071043695167729,0.9809238549519331,0.00020848398551250288,0.014488482792817867,6.192470061733562e-05,1.2975630286483938e-08
Portfolio 58,"[0.588535225086363, 1.4712114601699242e-07, 0.036427309006366704, 1.5003042255913206e-05, 3.103645827864132e-07]",0.14447120744595332,0.0711027588980569,0.588535225086363,1.4712114601699242e-07,0.036427309006366704,1.5003042255913206e-05,3.103645827864132e-07
Portfolio 59,"[0.9128286979301832, 1.5337046487405213e-07, 0.00896528555037121, 5.2938830014129395e-05, 4.999161880669444e-06]",0.14439903191641382,0.07103668962391872,0.9128286979301832,1.5337046487405213e-07,0.00896528555037121,5.2938830014129395e-05,4.999161880669444e-06
Portfolio 60,"[0.8166586591488586, 3.6923990935857288e-06, 0.3754027240974297, 2.6614623812698627e-06, 4.30385363242336e-06]",0.14474025434078663,0.07134375669780242,0.8166586591488586,3.6923990935857288e-06,0.3754027240974297,2.6614623812698627e-06,4.30385363242336e-06
Portfolio 61,"[0.8117209309394326, 0.00020848398551250288, 0.06568053631340792, 5.984475293499998e-05, 7.771039522254536e-07]",0.14449473073544272,0.0711239511104586,0.8117209309394326,0.00020848398551250288,0.06568053631340792,5.984475293499998e-05,7.771039522254536e-07
Portfolio 62,"[0.560069563962927, 8.183209732463289e-06, 0.10376260318745453, 0.000297932150092121, 1.0740126380194512e-06]",0.14459688617980831,0.07121631605661988,0.560069563962927,8.183209732463289e-06,0.10376260318745453,0.000297932150092121,1.0740126380194512e-06
Portfolio 63,"[0.9501449659917017, 9.88521997267261e-07, 0.13085363781698928, 0.00013194786096122282, 4.942495269019611e-09]",0.14455465333993175,0.07117851502108295,0.9501449659917017,9.88521997267261e-07,0.13085363781698928,0.00013194786096122282,4.942495269019611e-09
Portfolio 64,"[0.8608489452575236, 2.6711642342913465e-07, 0.049898429033183755, 1.8321893326114677e-05, 0.0001641304467252665]",0.14446648277850327,0.07109828523074152,0.8608489452575236,2.6711642342913465e-07,0.049898429033183755,1.8321893326114677e-05,0.0001641304467252665
